OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"3,489",-134,158,-,"1,909.70",-139.00,375,"1,898.75","1,909.80",75,"12,800.00","1,200",4.75,4.95,525,-0.25,4.75,32.32,"3,055",184,"8,939",
,5,-,-,-,"2,007.50",-,"2,625","1,695.25","1,900.65","2,625","12,850.00",75,4.65,6.00,75,0.10,5.20,31.96,260,6,272,
,24,-1,1,35.03,"1,860.35",-122.05,75,"1,790.15","1,835.05",75,"12,900.00",75,5.15,6.15,75,0.25,5.95,31.80,587,2,"2,329",
,-,-,-,-,-,-,"2,625","1,702.65","1,799.00",75,"12,950.00",75,6.05,7.00,75,1.75,6.75,31.61,56,16,28,
,"10,634",31,618,-,"1,712.00",-169.85,150,"1,706.00","1,711.70",75,"13,000.00","3,000",7.05,7.25,150,0.20,7.15,31.09,"11,568","2,254","28,450",
,3,-,-,-,"1,877.25",-,"2,625","1,628.15","1,698.00","2,625","13,050.00",75,6.15,8.55,75,1.35,7.80,30.70,106,-19,443,
,60,-,-,-,"1,551.10",-,75,"1,593.65","1,622.60",75,"13,100.00",75,8.10,9.20,75,0.65,8.30,30.19,"2,614",-366,"3,233",
,-,-,-,-,-,-,"2,625","1,503.55","1,596.95",75,"13,150.00",75,7.65,9.75,750,1.80,9.10,29.82,42,10,51,
,95,-,-,-,"1,685.40",-,75,"1,498.45","1,522.50",75,"13,200.00",75,9.25,9.65,75,1.20,9.30,29.10,"2,902",-726,"4,272",
,-,-,-,-,-,-,"2,625","1,427.85","1,524.40","2,700","13,250.00",75,9.40,10.95,300,0.70,9.15,28.19,44,4,56,
,201,-2,3,-,"1,423.00",-160.10,75,"1,404.75","1,424.00",75,"13,300.00",75,10.35,10.90,75,1.75,10.70,28.12,"1,886",-20,"6,638",
,-,-,-,-,-,-,"2,625","1,333.95","1,417.95",75,"13,350.00",75,10.45,12.60,150,2.35,11.55,27.66,77,8,70,
,140,-1,2,-,"1,309.40",-287.90,75,"1,305.95","1,326.25",75,"13,400.00",300,11.00,12.55,75,2.00,11.75,26.89,"3,134",-261,"10,826",
,-,-,-,-,-,-,75,"1,177.05","1,324.30",75,"13,450.00",75,9.45,14.20,375,1.95,12.95,26.51,76,23,98,
,"2,469",-32,301,-,"1,222.50",-154.85,375,"1,212.45","1,220.00",75,"13,500.00",150,14.10,14.20,75,2.45,14.10,26.07,"15,014",312,"42,828",
,2,1,5,-,"1,195.00",-235.00,75,"1,155.40","1,184.30",75,"13,550.00",75,12.55,17.00,75,3.30,15.50,25.67,239,-48,162,
,80,-7,13,-,"1,122.00",-159.05,375,"1,114.55","1,127.65",75,"13,600.00",75,16.75,17.55,150,4.15,17.25,25.34,"6,221",-426,"17,168",
,3,-,-,-,"1,211.85",-,75,"1,006.45","1,140.85",75,"13,650.00",75,13.40,20.50,75,-3.00,11.55,22.51,146,52,150,
,168,-1,4,-,"1,035.05",-151.95,75,"1,014.50","1,034.25",75,"13,700.00",75,20.85,21.40,75,5.30,21.40,24.67,"13,279","2,231","27,684",
,5,1,2,25.96,"1,033.90",-143.70,75,966.90,"1,008.85",75,"13,750.00",75,23.35,28.55,75,5.20,24.05,24.38,579,94,397,
,385,-,28,-,928.40,-165.05,75,928.25,937.25,75,"13,800.00",225,26.60,28.40,75,4.75,26.00,23.87,"15,691",957,"19,987",
,12,-1,3,16.57,908.75,-179.90,75,867.60,900.95,75,"13,850.00",75,30.05,37.30,75,8.30,31.70,24.09,849,133,369,
,69,1,3,-,851.00,-159.00,75,829.90,853.85,75,"13,900.00",75,36.20,37.00,75,9.15,36.50,23.98,"12,183","1,433","12,381",
,94,-,3,16.66,813.30,88.65,75,768.35,807.95,75,"13,950.00",75,26.00,44.15,75,10.10,41.45,23.80,"1,242",92,710,
,"5,667","1,059","2,657",-,752.00,-155.75,900,745.90,753.80,75,"14,000.00",150,46.50,47.15,75,10.95,46.60,23.55,"49,802","-2,959","56,828",
,61,-,-,-,978.60,-,75,700.55,725.00,75,"14,050.00",75,51.05,61.70,525,13.60,53.25,23.44,"1,494",92,638,
,432,-44,127,18.27,682.40,-138.20,150,664.05,673.95,75,"14,100.00",75,59.15,60.90,150,16.65,60.75,23.34,"18,985","1,231","11,260",
,81,-1,1,20.18,651.10,-147.50,75,605.55,649.20,75,"14,150.00",75,61.05,75.75,75,17.05,66.45,22.89,640,-4,328,
